id,source,target,date,time,amount,currency
7d5d4762-24fe-4cf0-8185-40eff4d299a0,ee288787-e310-4bb8-b2a1-f0f6a1ad8f06,4abed95d-5618-42e8-a5a0-06e4d69f81ca,24/09/2015,15:57:52,1683.7302711540963,None
357a8314-c6b2-4a38-b6df-3bcaa4b6ecbb,e5018dfa-d6fc-4f44-a4ae-f59cd9e3275a,e0708e37-8466-4893-bc1b-bbae9fdd9aeb,27/17/2015,23:59:57,733.4769135988205,None
9adcfd16-ac51-47e7-85e8-8dab05ddbc23,cc9ec01d-9414-413e-bf97-896271fdc446,4c3809e8-6d31-4e79-8abd-f933dcd95c08,27/13/2017,15:34:34,469.26375678242886,None
529d9a6a-8512-4ff9-b7e9-dcd1674fbfc7,e4ad5cec-82c0-4e5e-85a2-f2a2e7bfcf52,ac0c5a47-503a-4852-ac0b-b233239ede95,24/09/2015,15:57:52,1683.7302711540963,None
56ce6a32-4059-4e35-8650-60364c0199f4,ada7124c-fea2-4956-8699-759b7b6505f3,a397e9d5-259a-4931-a073-50b007ccf1df,27/03/2015,23:23:42,3737.2450198266106,None
99eb51d9-e814-4532-9311-9221f37d0e2c,e2dbc017-597e-429e-8efc-2a4c93144220,a65fa9a2-933f-48c3-b7f8-c249216da67d,27/17/2015,23:59:57,2202.298572301151,None
cc81e13e-bc42-416c-97b6-d7ee21c01f2e,3e792e29-327a-4d95-95ef-754caaf9b75b,4bae1993-54ab-400b-ba32-2046f1ca0a6a,27/03/2015,17:53:43,622.8741699711018,None
341d9a96-56ae-4e95-8be4-49c23100b36e,822bef6f-e464-47d7-8a9f-62d02bd9c213,8ad2e735-4916-4c27-9107-68600d24b4fa,25/27/2015,19:57:42,1869.5440867022737,PHP
22c4e100-74e2-4100-9a29-75f69936228a,c61620c3-e6a9-4bb0-9cdc-b25f2c5938cd,ec51746e-84d6-4408-919d-935fcdb09b97,27/20/2016,23:58:31,1749.6925153402824,None
62ccfe19-7493-4ab3-995f-147c5482c664,595f4b91-31ba-4f2d-8bf9-3cb0249dd426,2a850800-f56f-4ccb-b750-f8798f9a6745,25/20/2017,22:47:58,1889.0370790666864,None
0241a1b0-4338-46d3-adcc-2be65c6a54da,434ef91a-f8ce-4c19-af21-47f89554c0f4,eaac3b09-c913-47ef-8312-9fb4803091ce,12/02/2016,21:56:58,2953.496235975908,None
983961e9-792c-4edd-9aee-a134e7f79002,9e6afb86-e0a1-45a3-9642-a43dd1276e59,aca9c7b4-d437-4026-9250-276999733ccd,15/07/2017,20:36:10,6670.115163031306,None
aca75ebb-518e-4b84-b032-2d4fe1019269,bd1450b1-e09b-4460-89e7-3c5a12e06614,e52674cc-5d84-4f4b-8003-298f03f56e6b,09/18/2015,19:51:50,29894.745455490953,None
